checked_at,origin,destination,depart_date,depart_time,arrive_time,duration_min,price
2026-09-20T20:53:21Z,LAX,SEA,2026-11-07,18:18,21:12,174,180
2026-09-20T21:06:25Z,BUR,SEA,2026-11-06,07:03,09:54,171,179
2026-09-20T21:06:25Z,BUR,SEA,2026-11-06,10:00,12:51,171,206
2026-09-20T21:06:25Z,BUR,SEA,2026-11-06,14:32,17:21,169,179
2026-09-20T21:06:25Z,BUR,SEA,2026-11-06,18:09,20:56,167,179
2026-09-20T21:06:25Z,BUR,SEA,2026-11-07,07:03,09:54,171,169
2026-09-20T21:06:25Z,BUR,SEA,2026-11-07,10:00,12:51,171,169
2026-09-20T21:06:25Z,BUR,SEA,2026-11-07,14:32,17:21,169,169
2026-09-20T21:06:25Z,BUR,SEA,2026-11-07,18:09,20:56,167,169
2026-09-20T21:06:25Z,LAX,SEA,2026-11-06,08:00,10:57,177,206
2026-09-20T21:06:25Z,LAX,SEA,2026-11-06,09:12,12:12,180,230
2026-09-20T21:06:25Z,LAX,SEA,2026-11-06,11:20,14:12,172,204
2026-09-20T21:06:25Z,LAX,SEA,2026-11-06,12:05,15:04,179,204
2026-09-20T21:06:25Z,LAX,SEA,2026-11-06,13:18,16:11,173,213
2026-09-20T21:06:25Z,LAX,SEA,2026-11-06,15:03,17:55,172,210
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,08:00,10:57,177,181
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,10:00,12:52,172,189
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,11:20,14:12,172,192
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,12:05,15:04,179,217
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,13:18,16:11,173,218
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,15:03,17:55,172,218
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,16:35,19:28,173,197
2026-09-20T21:06:25Z,LAX,SEA,2026-11-07,18:18,21:12,174,180
2026-09-20T21:07:25Z,BUR,SEA,2026-11-06,07:03,09:54,171,179
2026-09-20T21:07:25Z,BUR,SEA,2026-11-06,10:00,12:51,171,206
2026-09-20T21:07:25Z,BUR,SEA,2026-11-06,14:32,17:21,169,179
2026-09-20T21:07:25Z,BUR,SEA,2026-11-06,18:09,20:56,167,179
2026-09-20T21:07:25Z,BUR,SEA,2026-11-07,07:03,09:54,171,169
2026-09-20T21:07:25Z,BUR,SEA,2026-11-07,10:00,12:51,171,169
2026-09-20T21:07:25Z,BUR,SEA,2026-11-07,14:32,17:21,169,169
2026-09-20T21:07:25Z,BUR,SEA,2026-11-07,18:09,20:56,167,169
2026-09-20T21:07:25Z,LAX,SEA,2026-11-06,08:00,10:57,177,206
2026-09-20T21:07:25Z,LAX,SEA,2026-11-06,09:12,12:12,180,230
2026-09-20T21:07:25Z,LAX,SEA,2026-11-06,11:20,14:12,172,204
2026-09-20T21:07:25Z,LAX,SEA,2026-11-06,12:05,15:04,179,204
2026-09-20T21:07:25Z,LAX,SEA,2026-11-06,13:18,16:11,173,213
2026-09-20T21:07:25Z,LAX,SEA,2026-11-06,15:03,17:55,172,210
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,08:00,10:57,177,181
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,10:00,12:52,172,189
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,11:20,14:12,172,192
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,12:05,15:04,179,217
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,13:18,16:11,173,218
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,15:03,17:55,172,218
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,16:35,19:28,173,197
2026-09-20T21:07:25Z,LAX,SEA,2026-11-07,18:18,21:12,174,180
2026-09-20T21:23:27Z,BUR,SEA,2026-11-06,07:03,09:54,171,179
2026-09-20T21:23:27Z,BUR,SEA,2026-11-06,10:00,12:51,171,219
2026-09-20T21:23:27Z,BUR,SEA,2026-11-06,14:32,17:21,169,179
2026-09-20T21:23:27Z,BUR,SEA,2026-11-06,18:09,20:56,167,179
2026-09-20T21:23:27Z,BUR,SEA,2026-11-07,07:03,09:54,171,169
2026-09-20T21:23:27Z,BUR,SEA,2026-11-07,10:00,12:51,171,169
2026-09-20T21:23:27Z,BUR,SEA,2026-11-07,14:32,17:21,169,169
2026-09-20T21:23:27Z,BUR,SEA,2026-11-07,18:09,20:56,167,169
2026-09-20T21:23:27Z,LAX,SEA,2026-11-06,08:00,10:57,177,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-06,09:12,12:12,180,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-06,11:20,14:12,172,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-06,12:05,15:04,179,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-06,13:18,16:11,173,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-06,15:03,17:55,172,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,08:00,10:57,177,184
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,10:00,12:52,172,200
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,11:20,14:12,172,200
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,12:05,15:04,179,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,13:18,16:11,173,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,15:03,17:55,172,264
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,16:35,19:28,173,200
2026-09-20T21:23:27Z,LAX,SEA,2026-11-07,18:18,21:12,174,184
